ChosenID,Basin,WellName,County,LeaseName,bundle,Parent_Child_Cluster_Labels,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,Comp_Dt,HoleDirection,SurfaceLatitude,SurfaceLongitude,BH_Lat,BH_Long,mid_lat,mid_long,First_Prod_Year,First_Prod_Month
4238934091,DB,ANNA KATHERINE 23 6H,REEVES,ANNA KATHERINE 23,449,2,08-042894-O,WOLFBONE,01PDP,WCA,5250,8/1/2014,8/13/2014,H,31.31715997,-103.3421165,31.30292982,-103.344625,31.31004489,-103.3433707,2014,8
4238934109,DB,WORSHAM 6-15 4H,REEVES,WORSHAM 6-15,450,2,08-042008-O,TWO GEORGES,01PDP,3RD BS,5710,6/1/2014,5/28/2014,H,31.40077457,-103.3213732,31.4159727,-103.3169896,31.40837363,-103.3191814,2014,6
4238934118,DB,RED WILLOW 8505H,REEVES,RED WILLOW,451,0,08-045650-O,HOEFS T-K,01PDP,WCA,5297,5/1/2014,10/7/2014,H,31.06741538,-103.4147616,31.08188245,-103.4133443,31.07464892,-103.4140529,2014,5
4238934140,DB,BIG CHIEF 7504H,REEVES,BIG CHIEF,452,0,08-044043-O,HOEFS T-K,01PDP,WCA,8006,4/1/2014,11/5/2014,H,31.06715976,-103.4308731,31.05291974,-103.4503665,31.06003975,-103.4406198,2014,4
4238934146,DB,NARROWS 6-21 2H,REEVES,NARROWS 6-21,453,2,08-041098-O,PHANTOM,01PDP,WCB,4965,7/1/2014,7/11/2014,H,31.4116643,-103.2657232,31.42510326,-103.2632143,31.41838378,-103.2644688,2014,7
4238934198,DB,BALMORHEA RANCH 49 1H,REEVES,BALMORHEA RANCH 49,454,0,08-046601-O,PHANTOM,01PDP,WCB,4717,4/1/2015,4/18/2015,H,31.31867557,-103.5381638,31.33138171,-103.5353681,31.32502864,-103.536766,2015,4
4238934249,DB,TYCOON A 2502H,REEVES,TYCOON A,455,0,08-045248-O,WOLFBONE,01PDP,WCA,5243,1/1/2015,1/14/2015,H,31.39781332,-103.407496,31.38371905,-103.4107879,31.39076618,-103.4091419,2015,1
4238934266,DB,LOWE 4-9 1H,REEVES,LOWE 4-9,456,1,08-046401-O,HOEFS T-K,01PDP,WCA,7954,11/1/2014,4/15/2015,H,31.0623025,-103.326787,31.04068478,-103.3234815,31.05149364,-103.3251343,2014,11
4238934287,DB,LEMUR UNIT `24B` 3H,REEVES,LEMUR UNIT `24B`,457,0,08-047030-O,WOLFBONE,01PDP,WCA,5690,5/1/2015,6/4/2015,H,31.19973665,-103.2555041,31.21532942,-103.2551512,31.20753303,-103.2553277,2015,5
4238934304,DB,BIG CHIEF 4613H,REEVES,BIG CHIEF,458,0,08-044043-O,HOEFS T-K,01PDP,WCA,6596,3/1/2015,3/15/2015,H,31.04428855,-103.4163229,31.03249146,-103.4323136,31.03839,-103.4243183,2015,3
