ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,HoleDirection,SurfaceLatitude,SurfaceLongitude,cluster
4238935285,DB,HASTA LA VISTA UNIT 803H,REEVES,HASTA LA VISTA UNIT,08-047507-O,WOLFBONE,01PDP,WCA,5066.0,2016-10-01,H,31.273068922,-103.448044268,1924
4238935331,DB,ROGERS WILL 4 3H,REEVES,ROGERS WILL 4,,WOLFBONE,05PA,,6399.0,2200-01-01,H,31.307259037,-103.583591872,1925
4238935385,DB,JANE CALAMITY 2106HL,REEVES,JANE CALAMITY,08-045695-O,WOLFBONE,01PDP,WCA,8539.0,2017-12-01,H,31.340232245,-103.331620677,675
4238935415,DB,COLLIER 1202H,REEVES,COLLIER,08-042195-O,PHANTOM,01PDP,WCB,7814.0,2017-07-01,H,31.3431723,-103.078735325,1926
4238935499,DB,ALLEN 39 16H,REEVES,ALLEN 39,08-048792-O,WOLFBONE,01PDP,WCA,5106.0,2017-03-01,H,31.214415439,-103.40872978,1927
4238935532,DB,LIGON STATE UNIT 7-22 4301H,REEVES,LIGON STATE UNIT 7-22,08-047267-O,PHANTOM,01PDP,WCA,4889.0,2017-03-01,H,31.353063126,-103.147615551,1928
4238935596,DB,RANGER C4-6-14 4301H,REEVES,RANGER C4-6-14,08-049878-O,PHANTOM,01PDP,WCA,8237.0,2017-06-01,H,31.310999519,-103.24435832,1929
4238935606,DB,LEGACY 2623A-C3 1H,REEVES,LEGACY 2623A-C3,08-049332-O,PHANTOM,01PDP,WCC,8044.0,2017-06-01,H,31.34438919,-103.09891245,1930
4238935700,DB,CATTLE KATE 20-18 UNIT 1H,REEVES,CATTLE KATE 20-18 UNIT,08-051178-O,PHANTOM,01PDP,WCA,7773.0,2018-06-01,H,31.380237861,-103.564320647,1931
4238935702,DB,LIGON STATE UNIT 7-22 4313H,REEVES,LIGON STATE UNIT 7-22,08-047267-O,PHANTOM,01PDP,WCA,9969.0,2018-03-01,H,31.352784446,-103.134239165,1932
