ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,Comp_Dt,HoleDirection,SurfaceLatitude,SurfaceLongitude,BH_Lat,BH_Long,mid_lat,mid_long,cluster
4238939345,DB,ALTAI 23 2WA,REEVES,ALTAI 23,08-056710-O,HOEFS T-K,01PDP,WCA,11048,11/1/2021,11/18/2021,H,31.37150615,-103.2617973,31.40098182,-103.2536614,31.38624398,-103.2577294,1898
4238939344,DB,ALTAI 23 2BS,REEVES,ALTAI 23,,PHANTOM,05PA,,11535,1/1/2200,,H,31.37152285,-103.2618889,31.40256097,-103.2548273,31.38704191,-103.2583581,3
4238939445,DB,REV MOSHI T8-52-13 B 0012WA,REEVES,REV MOSHI T8-52-13 B,08-058561-O,WOLFBONE,01PDP,WCA,8416,12/1/2021,12/14/2021,H,31.15361229,-103.4766824,31.13809972,-103.496633,31.145856,-103.4866577,1899
4238939442,DB,HAPPY JACK 3H,REEVES,HAPPY JACK,08-056721-O,WOLFBONE,01PDP,WCA,6863,12/1/2021,12/6/2021,H,31.08177772,-103.3799614,31.06889698,-103.395971,31.07533735,-103.3879662,1900
4238939441,DB,HAPPY JACK 1H,REEVES,HAPPY JACK,08-056721-O,WOLFBONE,01PDP,WCA,6979,12/1/2021,12/11/2021,H,31.08177571,-103.3801534,31.07069299,-103.398359,31.07623435,-103.3892562,1901
4238939443,DB,HAPPY JACK 2H,REEVES,HAPPY JACK,08-056721-O,WOLFBONE,01PDP,WCA,7615,12/1/2021,12/1/2021,H,31.08177671,-103.3800574,31.06842008,-103.398787,31.07509839,-103.3894222,1902
4238939446,DB,REV MOSHI T8-52-13 UNIT 0013WA,REEVES,REV MOSHI T8-52-13 UNIT,08-058502-O,WOLFBONE,01PDP,WCA,8545,12/1/2021,12/14/2021,H,31.15361229,-103.4766024,31.1362088,-103.494918,31.14491054,-103.4857602,1903
4238939444,DB,REV MOSHI T8-52-13 A 0011WA,REEVES,REV MOSHI T8-52-13 A,08-058406-O,WOLFBONE,01PDP,WCA,7899,12/1/2021,12/14/2021,H,31.15361329,-103.4767614,31.14105461,-103.497372,31.14733395,-103.4870667,1904
4238939447,DB,FAWN LEIBOWITZ 6-11 UNIT 5H,REEVES,FAWN LEIBOWITZ 6-11 UNIT,08-056699-O,HOEFS T-K,01PDP,WCA,8520,2/1/2022,1/14/2022,H,31.23928205,-103.6427532,31.21606905,-103.6457395,31.22767555,-103.6442464,1905
4238939449,DB,MANDY PEPPERIDGE 6-3 UNIT 5H,REEVES,MANDY PEPPERIDGE 6-3 UNIT,08-056716-O,HOEFS T-K,01PDP,WCA,8556,2/1/2022,1/13/2022,H,31.23928205,-103.6428504,31.26263137,-103.6454256,31.25095671,-103.644138,1906
4238939453,DB,DIANN 16 12C,REEVES,DIANN 16,,WOLFBONE,05PA,WCA,5351,1/1/2200,,H,31.21496114,-103.6198705,31.20029867,-103.619402,31.2076299,-103.6196362,1907
4238939454,DB,DIANN 16 21C,REEVES,DIANN 16,,WOLFBONE,05PA,WCA,5515,1/1/2200,,H,31.21498242,-103.6112322,31.2003055,-103.6154636,31.20764396,-103.6133479,1908
4238939455,DB,DIANN 16 22C,REEVES,DIANN 16,,WOLFBONE,05PA,WCA,5352,1/1/2200,,H,31.21498262,-103.6111362,31.20031284,-103.6112074,31.20764773,-103.6111718,1909
4238939452,DB,DIANN 16 11C,REEVES,DIANN 16,,WOLFBONE,05PA,WCA,5468,1/1/2200,,H,31.21496104,-103.6199665,31.20029133,-103.6235601,31.20762618,-103.6217633,1910
4238939466,DB,IWO JIMA 26-14 UNIT 322H,REEVES,IWO JIMA 26-14 UNIT,08-295300-G,PHANTOM,01PDP,WCB,7854,1/1/2022,1/12/2022,H,31.31214729,-103.6454765,31.3354241,-103.6434708,31.3237857,-103.6444737,1911
4238939465,DB,IWO JIMA 26-14 UNIT 321H,REEVES,IWO JIMA 26-14 UNIT,08-294930-G,PHANTOM,01PDP,WCB,4794,1/1/2022,1/12/2022,H,31.31214729,-103.6456046,31.32498508,-103.6488847,31.31856619,-103.6472447,1912
4238939467,DB,IWO JIMA 26-14 UNIT 223H,REEVES,IWO JIMA 26-14 UNIT,08-294386-G,PHANTOM,01PDP,WCA,8479,1/1/2022,1/12/2022,H,31.31214779,-103.6453507,31.33523652,-103.6422416,31.32369215,-103.6437961,1911
4238939479,DB,TEA TIME STATE EAST 1H,REEVES,TEA TIME STATE EAST,08-056735-O,PHANTOM,01PDP,WCB,8937,11/1/2021,11/3/2021,H,31.26031532,-103.7221238,31.28480181,-103.721328,31.27255856,-103.7217259,1913
4238939477,DB,GT UNIT 13B63 63H,REEVES,GT UNIT 13B63,08-057331-O,SANDBAR,01PDP,2ND BS,11096,12/1/2021,12/3/2021,H,31.23148889,-103.1570751,31.20112895,-103.1592087,31.21630892,-103.1581419,1914
4238939480,DB,TEA TIME STATE WEST 2H,REEVES,TEA TIME STATE WEST,08-056829-O,PHANTOM,01PDP,WCC,9727,10/1/2021,1/19/2022,H,31.26031532,-103.7222198,31.28692574,-103.7241821,31.27362053,-103.723201,1915
4238939492,DB,BLUE TOPAZ STATE UNIT 251-252E 6H,REEVES,BLUE TOPAZ STATE UNIT 251-252E,,WOLFBONE,03PA,WCA,10259,1/1/2200,2/13/2022,H,31.22081543,-103.5241682,31.22230737,-103.5252818,31.2215614,-103.524725,1916
4238939494,DB,BLUE TOPAZ STATE UNIT 251-252E 12H,REEVES,BLUE TOPAZ STATE UNIT 251-252E,08-053937-O,WOLFBONE,01PDP,WCB,10357,10/1/2022,10/21/2022,H,31.22077544,-103.5239491,31.1927991,-103.5295927,31.20678727,-103.5267709,1917
4238939488,DB,BLUE TOPAZ STATE UNIT 251-252W 3H,REEVES,BLUE TOPAZ STATE UNIT 251-252W,08-052769-O,WOLFBONE,01PDP,WCA,10551,10/1/2022,10/18/2022,H,31.22222264,-103.5287745,31.19424858,-103.5373528,31.20823561,-103.5330636,1918
4238939491,DB,BLUE TOPAZ STATE UNIT 251-252W 11H,REEVES,BLUE TOPAZ STATE UNIT 251-252W,08-052769-O,WOLFBONE,01PDP,WCB,10552,10/1/2022,10/16/2022,H,31.22218104,-103.5285579,31.19368203,-103.5343221,31.20793153,-103.53144,1918
4238939493,DB,BLUE TOPAZ STATE UNIT 251-252E 7H,REEVES,BLUE TOPAZ STATE UNIT 251-252E,08-053937-O,WOLFBONE,01PDP,WCA,10349,10/1/2022,10/18/2022,H,31.22079543,-103.5240582,31.19309438,-103.5311976,31.20694491,-103.5276279,1917
4238939489,DB,BLUE TOPAZ STATE UNIT 251-252W 4H,REEVES,BLUE TOPAZ STATE UNIT 251-252W,08-052769-O,WOLFBONE,01PDP,WCA,10541,10/1/2022,10/15/2022,H,31.22220044,-103.5286662,31.1939709,-103.5358611,31.20808567,-103.5322636,1918
4238939490,DB,BLUE TOPAZ STATE UNIT 251-252W 5H,REEVES,BLUE TOPAZ STATE UNIT 251-252W,08-052769-O,WOLFBONE,01PDP,WCA,10549,10/1/2022,10/15/2022,H,31.22215874,-103.5284467,31.19368153,-103.5343046,31.20792013,-103.5313756,1918
4238939497,DB,SNUFFY STIRNWEISS A 1H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9796,1/1/2200,,H,31.41106908,-103.3285217,31.38547999,-103.3380594,31.39827454,-103.3332905,788
4238939499,DB,AFRICAN LION STATE UNIT 1W33 33H,REEVES,AFRICAN LION STATE UNIT 1W33,08-056705-O,SANDBAR,02PDNP,3RD BS,8503,11/1/2021,11/15/2021,H,31.18300643,-103.2690542,31.18092304,-103.2961883,31.18196474,-103.2826213,1919
4238939504,DB,SNUFFY STIRNWEISS A 7H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9774,1/1/2200,,H,31.41106248,-103.328484,31.38451853,-103.3327276,31.39779051,-103.3306058,1920
4238939505,DB,SNUFFY STIRNWEISS A 6H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9772,1/1/2200,,H,31.41106358,-103.3284903,31.38452993,-103.3327903,31.39779676,-103.3306403,1920
4238939506,DB,SNUFFY STIRNWEISS B 1H,REEVES,SNUFFY STIRNWEISS B,,WOLFBONE,EXPIRED PERM,,8953,1/1/2200,,H,31.38919283,-103.3286074,31.41320955,-103.3226928,31.40120119,-103.3256501,1921
4238939500,DB,AFRICAN LION STATE UNIT 1W34 34H,REEVES,AFRICAN LION STATE UNIT 1W34,08-057332-O,SANDBAR,02PDNP,3RD BS,8492,11/1/2021,11/15/2021,H,31.18308973,-103.2690542,31.18510898,-103.2961605,31.18409935,-103.2826073,105
4238939502,DB,SNUFFY STIRNWEISS A 4H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9766,1/1/2200,,H,31.41106578,-103.3285028,31.3852651,-103.3368675,31.39816544,-103.3326852,788
4238939498,DB,SNUFFY STIRNWEISS A 2H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9794,1/1/2200,,H,31.41106798,-103.3285154,31.38546299,-103.3379653,31.39826549,-103.3332403,788
4238939501,DB,SNUFFY STIRNWEISS A 3H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9767,1/1/2200,,H,31.41106688,-103.3285091,31.3852764,-103.3369302,31.39817164,-103.3327197,788
4238939503,DB,SNUFFY STIRNWEISS A 5H,REEVES,SNUFFY STIRNWEISS A,,WOLFBONE,EXPIRED PERM,,9755,1/1/2200,,H,31.41106468,-103.3284966,31.38471652,-103.3338253,31.3978906,-103.331161,1920
4238939507,DB,SNUFFY STIRNWEISS B 2H,REEVES,SNUFFY STIRNWEISS B,,WOLFBONE,EXPIRED PERM,,9489,1/1/2200,,H,31.38919173,-103.3286011,31.41443483,-103.3212561,31.40181328,-103.3249286,1921
4238939508,DB,SNUFFY STIRNWEISS B 3H,REEVES,SNUFFY STIRNWEISS B,,WOLFBONE,EXPIRED PERM,,2925,1/1/2200,,H,31.38919063,-103.3285948,31.39676885,-103.3255236,31.39297974,-103.3270592,1922
4238939509,DB,SNUFFY STIRNWEISS B 4H,REEVES,SNUFFY STIRNWEISS B,,WOLFBONE,EXPIRED PERM,,9961,1/1/2200,,H,31.41524261,-103.3186121,31.38822658,-103.3232373,31.4017346,-103.3209247,1923
4238939510,DB,SNUFFY STIRNWEISS B 5H,REEVES,SNUFFY STIRNWEISS B,,WOLFBONE,EXPIRED PERM,,9960,1/1/2200,,H,31.41523701,-103.3186068,31.38821658,-103.323182,31.4017268,-103.3208944,1923
4238939511,DB,SNUFFY STIRNWEISS B 6H,REEVES,SNUFFY STIRNWEISS B,,WOLFBONE,EXPIRED PERM,,9947,1/1/2200,,H,31.41524811,-103.3186173,31.38841287,-103.3242724,31.40183049,-103.3214449,1923
4238939524,DB,GIRAFFE UNIT 18C34 34H,REEVES,GIRAFFE UNIT 18C34,08-056823-O,SANDBAR,02PDNP,3RD BS,8747,12/1/2021,12/22/2021,H,31.22055305,-103.1729508,31.24447713,-103.1711312,31.23251509,-103.172041,1924
